#,股票代號/名稱,類別,20260424,20260430,20260508,20260515,20260522,20260529,總增減,上週持有%
1,8028/昇陽半導體,半導體,9.28,-2.05,-2.85,5.74,-0.12,4.55,14.55,56.12
2,2492/華新科,電子零組件,-0.25,-0.05,4.24,5.43,1.67,2.07,13.11,72.39
3,3048/益登,電子通路,0.29,0.30,1.18,7.57,4.54,-1.10,12.78,58.11
4,2464/盟立,其他電子,8.53,4.92,-1.70,-0.89,1.77,-1.01,11.62,46.34
5,4916/事欣科,電腦週邊,2.59,-1.46,0.70,0.88,11.94,-3.13,11.52,45.03
6,2375/凱美,電子零組件,-0.04,-1.23,1.32,0.61,7.80,2.54,11.00,37.67
7,6770/力積電,半導體,-0.72,0.01,3.28,-3.42,0.18,11.58,10.91,55.46
8,2344/華邦電,半導體,0.27,0.88,3.04,3.85,-2.56,4.40,9.88,74.04
9,6141/柏承,電子零組件,0.80,-0.03,-0.40,-0.88,4.36,5.21,9.06,55.31
10,2369/菱生,半導體,-0.82,-0.01,3.37,-2.21,-0.14,8.20,8.39,39.83
11,6282/康舒,電子零組件,0.34,0.19,0.68,1.42,2.27,3.13,8.03,50.90
12,3033/威健,電子通路,1.28,1.05,3.28,2.49,-0.67,0.50,7.93,41.91
13,4906/正文,通信網路,-2.50,-0.09,2.30,1.70,1.05,5.27,7.73,35.11
14,3305/昇貿,其他電子,0.75,-1.22,1.54,3.66,-0.56,2.90,7.07,50.43
15,3704/合勤控,通信網路,0.81,0.10,0.06,0.79,2.59,2.27,6.62,62.41
16,3006/晶豪科,半導體,-0.94,1.19,2.53,7.22,-4.14,0.75,6.61,57.44
17,2351/順德,半導體,1.19,-0.10,1.12,1.79,0.74,1.79,6.53,76.37
18,6706/惠特,光電,-5.58,5.27,1.94,-3.12,2.57,5.24,6.32,41.33
19,6658/聯策,其他電子,0.21,1.33,2.18,0.05,3.00,-0.62,6.15,46.80
20,3528/安馳,電子通路,1.02,0.59,0.37,-1.48,1.39,4.26,6.15,71.07
21,6449/鈺邦,電子零組件,0.14,-0.38,1.01,3.21,2.23,-0.28,5.93,77.32
22,6206/飛捷,電腦週邊,0.19,-0.29,0.29,3.43,-0.38,2.64,5.88,54.70
23,2233/宇隆,汽車,0.29,2.17,5.57,-0.94,1.48,-2.90,5.67,58.49
24,3591/艾笛森,光電,-1.64,0.37,1.38,0.80,2.05,2.68,5.64,55.48
25,2027/大成鋼,鋼鐵,-0.74,1.22,1.15,1.13,2.30,0.58,5.64,73.12
26,8261/富鼎,半導體,1.05,-0.95,-0.35,3.73,1.33,0.79,5.60,50.99
27,2476/鉅祥,電子零組件,2.72,0.15,0.59,-0.05,1.27,0.87,5.55,63.29
28,6155/鈞寶,電子零組件,-0.73,-0.45,2.84,-2.13,1.47,4.55,5.55,65.05
29,1582/信錦,電子零組件,-1.36,-0.97,-0.23,1.81,8.59,-2.34,5.50,40.09
30,8114/振樺電,電腦週邊,1.04,-1.74,0.34,5.88,-0.17,0.09,5.44,50.75
31,2241/艾姆勒,汽車,-1.08,0.62,-0.01,-0.19,2.60,3.46,5.40,44.41
32,3016/嘉晶,半導體,2.79,1.53,1.88,0.23,-0.07,-0.99,5.37,78.44
33,3450/聯鈞,半導體,-2.11,-3.58,3.92,7.73,-0.30,-0.37,5.29,48.39
34,8438/昶昕,綠能,1.86,0.41,-0.61,2.30,0.95,0.34,5.25,84.19
35,1568/倉佑,汽車,1.03,-0.86,0.61,1.02,-0.31,3.71,5.20,67.84
36,2478/大毅,電子零組件,0.59,-0.93,1.41,1.13,5.71,-2.77,5.14,62.12
37,3090/日電貿,電子零組件,0.43,-1.43,2.88,-2.80,5.27,0.73,5.08,67.83
38,2465/麗臺,電腦週邊,1.94,-0.18,1.05,-0.18,0.15,2.22,5.00,38.49
39,2408/南亞科,半導體,0.09,2.99,1.69,0.98,-2.10,1.31,4.96,82.37
40,2243/宏旭-KY,汽車,2.96,2.43,-0.21,-0.09,-0.64,0.46,4.91,54.52
41,4571/鈞興-KY,電機,-0.03,-0.01,0.82,-0.93,5.51,-0.61,4.75,69.93
42,2428/興勤,電子零組件,0.18,0.00,0.45,1.57,1.74,0.78,4.72,65.12
43,2356/英業達,電腦週邊,0.95,0.15,0.97,1.66,0.57,0.22,4.52,73.53
44,4722/國精化,化學,0.42,0.09,2.18,1.01,1.30,-0.50,4.50,59.32
45,6834/天二科技,電子零組件,1.27,-0.05,0.93,-0.08,3.89,-1.49,4.47,70.64
46,2363/矽統,半導體,1.16,-0.56,0.34,3.40,0.35,-0.22,4.47,37.18
47,2049/上銀,電機,2.97,0.04,0.21,1.61,-0.36,-0.10,4.37,70.37
48,3661/世芯-KY,半導體,3.34,0.67,2.31,0.20,-0.64,-1.57,4.31,37.28
49,2404/漢唐,其他電子,1.42,-1.48,-0.90,0.56,2.00,2.70,4.30,53.84
50,3231/緯創,電腦週邊,2.18,0.53,1.26,-1.42,0.25,1.48,4.28,62.60
51,1516/川飛,其他,1.11,0.00,1.49,0.74,-0.11,0.95,4.18,64.05
52,3189/景碩,半導體,1.90,-0.81,-1.46,2.07,1.69,0.77,4.16,72.81
53,4555/氣立,電機,0.51,-0.03,-1.24,0.82,1.38,2.59,4.03,71.96
54,6215/和椿,其他電子,0.16,-0.44,0.05,1.15,2.52,0.55,3.99,36.20
55,2317/鴻海,其他電子,0.77,0.26,1.63,0.17,0.35,0.69,3.87,70.46
56,3209/全科,電子通路,0.61,0.35,1.01,1.11,-0.18,0.95,3.85,49.62
57,2406/國碩,光電,0.75,0.34,3.21,-0.53,-0.75,0.70,3.72,37.12
58,6414/樺漢,電腦週邊,2.14,0.03,1.65,0.90,-0.89,-0.13,3.70,65.03
59,3376/新日興,電子零組件,4.18,-2.19,0.71,-3.90,2.76,2.10,3.66,53.36
60,2438/翔耀,光電,0.00,0.01,-0.02,3.85,-0.01,-0.19,3.64,58.33
61,2376/技嘉,電腦週邊,1.20,-0.04,1.85,0.71,-0.18,0.05,3.59,69.95
62,1563/巧新,汽車,-0.05,0.37,0.56,0.63,0.14,1.92,3.57,44.72
63,2606/裕民,航運,0.39,-0.16,0.70,0.61,0.12,1.89,3.55,76.85
64,3024/憶聲,光電,1.12,0.96,0.67,-0.37,0.78,0.26,3.42,51.13
65,2401/凌陽,半導體,2.00,-1.08,0.54,0.33,2.68,-1.11,3.36,39.76
66,2338/光罩,半導體,-0.64,0.09,2.32,-2.37,1.61,2.23,3.24,50.87
67,8016/矽創,半導體,0.44,-0.53,1.80,2.15,-0.40,-0.25,3.21,44.82
